Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
1, 101, 1881, 12424.2, 0, 0, 0, 0, 
1, 102, 7920, 11247.1, 0, 0, 0, 0, 
2, 101, 1881, 12424.2, 0, 0, 0, 0, 
2, 102, 7920, 11247.1, 0, 0, 0, 0, 
3, 101, 1881, 12424.2, 0, 0, 0, 0, 
3, 102, 7920, 11247.1, 0, 0, 0, 0, 
4, 101, 1881, 12424.2, 0, 0, 0, 0, 
4, 102, 7920, 11247.1, 0, 0, 0, 0, 
5, 101, 1881, 8764.1, 0, 8.1, 451.3, 0, 
5, 102, 7920, 10910.2, 0, 0.8, 42.9, 0, 
6, 101, 1881, 8764.1, 0, 8.1, 451.3, 0, 
6, 102, 7920, 10910.2, 0, 0.8, 42.9, 0, 
7, 101, 1881, 8764.1, 0, 8.1, 451.3, 0, 
7, 102, 7920, 10910.2, 0, 0.8, 42.9, 0, 
8, 101, 1881, 8764.1, 0, 8.1, 451.3, 0, 
8, 102, 7920, 10910.2, 0, 0.8, 42.9, 0, 
9, 101, 1881, 8764.1, 0, 8.1, 451.3, 0, 
9, 102, 7920, 10910.2, 0, 0.8, 42.9, 0, 
